date,band,venue,public_url,setlist,note
2022-08-20,mewithoutYou,The Fillmore,,https://www.setlist.fm/setlist/mewithoutyou/2022/the-fillmore-philadelphia-philadelphia-pa-6bb33af6.html,
2022-08-20,The Messthetics,The Fillmore,,,
2022-08-20,David Eugene Edwards,The Fillmore,,,
2022-08-19,mewithoutYou,The Fillmore,,https://www.setlist.fm/setlist/mewithoutyou/2022/the-fillmore-philadelphia-philadelphia-pa-23b3c037.html,
2022-08-19,Kevin Devine & The Goddamn Band,The Fillmore,,https://www.setlist.fm/setlist/kevin-devine/2022/the-fillmore-philadelphia-philadelphia-pa-3b3219f.html,
2022-08-19,David Eugene Edwards,The Fillmore,,,
2012-01-24,Empire! Empire! (I Was a Lonely Estate),Skid Row Garage,,,
2009-11-25,Phish,Spectrum,,,
2010-06-25,Phish,Waterfront Music Pavilion,,,
2014-10-03,The Airborne Toxic Event,Franklin Music Hall (Electric Factory),,https://www.setlist.fm/setlist/the-airborne-toxic-event/2014/electric-factory-philadelphia-pa-73cf4e65.html,
2014-10-03,In the Valley Below,Franklin Music Hall (Electric Factory),,,
2013-02-23,Alex G,Church of the Advocate,,,
2013-02-23,Coma Cinema,Church of the Advocate,,,
2013-02-23,Roof Doctor,Church of the Advocate,,,
2013-02-23,Pill Friends,Church of the Advocate,,,
2013-02-07,Balance and Composure,Union Transfer,,https://www.setlist.fm/setlist/balance-and-composure/2013/union-transfer-philadelphia-pa-3bdb2020.html,
2013-02-07,The Jealous Sound,Union Transfer,,https://www.setlist.fm/setlist/the-jealous-sound/2013/the-echo-los-angeles-ca-4bdb03a6.html,
2013-02-07,Daylight,Union Transfer,,https://www.setlist.fm/setlist/superheaven/2013/the-echo-los-angeles-ca-43db039b.html,
2022-08-14,Joyce Manor,Union Transfer,,https://www.setlist.fm/setlist/joyce-manor/2022/union-transfer-philadelphia-pa-63b3e6c7.html,
2022-08-14,Citizen,Union Transfer,,https://www.setlist.fm/setlist/citizen/2022/union-transfer-philadelphia-pa-73b3e6c5.html,
2022-08-14,Oso Oso,Union Transfer,,,
2022-08-14,Phony,Union Transfer,,,
2022-08-11,Sincere Engineer,PhilaMOCA,,https://www.setlist.fm/setlist/sincere-engineer/2022/philamoca-philadelphia-pa-7bb3f66c.html,
2022-08-11,Covey,PhilaMOCA,,,
2022-08-06,mewithoutYou,Paradise Rock Club,https://www.dropbox.com/sh/4ubnun5llacy9zl/AAAwbzILOHXymlMO3UkfLCZHa?dl=0,https://www.setlist.fm/setlist/mewithoutyou/2022/paradise-rock-club-boston-ma-73b24ee5.html,
2022-08-06,WHY?,Paradise Rock Club,,,
2022-08-05,mewithoutYou,Irving Plaza,https://www.dropbox.com/sh/8whixywlgyj3091/AABi_xnNjGNYk5qjXkj3yLD9a?dl=0,https://www.setlist.fm/setlist/mewithoutyou/2022/irving-plaza-new-york-ny-13b25571.html,
2022-08-05,WHY?,Irving Plaza,,,
2022-08-04,mewithoutYou,Warsaw,,https://www.setlist.fm/setlist/mewithoutyou/2022/warsaw-brooklyn-ny-4bb26346.html,
2022-08-04,WHY?,Warsaw,,,
2013-03-24,Restorations,Saint Mark's,,,
2011-06-29,Switchfoot,Creation Festival,,,
2011-06-29,Owl City,Creation Festival,,,
2011-06-29,Family Force 5,Creation Festival,,,
2011-06-29,Third Day,Creation Festival,,,
2011-06-29,RED,Creation Festival,,,
2011-06-29,Skillet,Creation Festival,,,
2011-06-29,Brian Head Welch,Creation Festival,,,
2011-06-29,Emery,Creation Festival,,,
2011-06-29,The Almost,Creation Festival,,,
2016-07-27,RUNA,Pastorius Park,https://www.dropbox.com/sh/mg7nwxxa2xp0990/AADUlFqx-ilxfzlV9zQJSxC3a?dl=0,,
2022-07-06,RUNA,Pastorius Park,https://www.dropbox.com/sh/ofq8uz2ul5zxzlu/AABf5OdFGnZI91rKGqCAR7qZa?dl=0,,
2018-07-18,RUNA,Pastorius Park,,,
2022-05-14,The Menzingers,Franklin Music Hall (Electric Factory),https://www.dropbox.com/sh/43n969c0oqn03v0/AACjTutvOgcPKS3oZJZHc_2wa?dl=0,,
2022-05-14,Oso Oso,Franklin Music Hall (Electric Factory),https://www.dropbox.com/sh/akl6m2pm8sd53nr/AAAG2ExeG0aZyzwviPvO2_1Da?dl=0,,
2022-05-14,Sincere Engineer,Franklin Music Hall (Electric Factory),https://www.dropbox.com/sh/vvkldiq09ylc175/AAA_TEJJOqJRumYqv5TupNOra?dl=0,,
